Entity,Code_x,Schizophrenia (%),Bipolar disorder (%),Eating disorders (%),Anxiety disorders (%),Drug use disorders (%),Depression (%),Alcohol use disorders (%),religious/spiritual activities,healthy lifestyle behaviors,work situation,personal relationships,Talked to friends or family,Took prescribed medication,in nature,mental health_professional,Have been anxious,Mental health units,Population,Continent,Code_y,GDP per capita
Afghanistan,AFG,0.166158,0.708089,0.107142,4.882481,2.473934,4.136347,0.661217,,,,,,,,,,0.01186,37769499.0,Asia,AFG,497.7414313
Albania,ALB,0.201025,0.70448,0.174046,3.385245,0.517614,2.208414,1.837955,36.1776,67.716934,39.660843,54.192497,86.524994,40.897434,88.64183,34.499058,12.32602,0.06841,2854191.0,Europe,ALB,5396.214243
Algeria,DZA,0.197913,0.818687,0.213612,5.065876,1.717218,3.661094,0.665191,,,,,,,,,7.6590347,0.06772,42705368.0,Africa,DZA,4530.101745
American Samoa,ASM,0.248557,0.468305,0.177808,3.315834,0.772801,2.939668,1.142277,,,,,,,,,,,47321.0,,ASM,13672.57666
Andean Latin America,,0.201471,0.881737,0.355475,4.267738,0.661481,2.610385,1.533573,,,,,,,,,,,,,,
Andorra,AND,0.263512,0.963331,0.644559,5.305375,0.910066,3.729532,1.25605,,,,,,,,,,,76343.0,Europe,AND,41328.6005
Angola,AGO,0.172794,0.623904,0.173643,3.296906,0.519556,4.160484,1.378244,,,,,,,,,,,32353588.0,Africa,AGO,2191.347764
Antigua and Barbuda,ATG,0.206409,0.925269,0.350368,4.604823,0.786239,2.557963,2.159736,,,,,,,,,,,92117.0,North America,ATG,18730.0048
Argentina,ARG,0.198094,0.773376,0.404033,6.283678,1.008901,3.665488,1.824515,48.529037,73.14098,52.18955,73.66945,71.9629,37.718056,80.908936,48.319183,35.31663,1.07099,44938712.0,South America,ARG,9963.674162
Armenia,ARM,0.197365,0.717591,0.167047,2.592813,0.50436,2.754583,1.964988,,,,,,,,,,0.06856,2820602.0,Europe,ARM,4828.504886
Australasia,,0.359991,1.15179,0.903106,6.884913,2.276766,4.524689,1.613586,,,,,,,,,,,,,,
Australia,AUS,0.363326,1.142097,0.943081,6.584301,2.315142,4.623881,1.511935,19.388412,78.53241,55.528122,58.101604,83.661896,71.37634,79.70587,75.43173,27.257576,0.60085,25334826.0,Oceania,AUS,55049.57192
Austria,AUT,0.256958,0.939794,0.675112,5.341275,0.902117,3.26097,1.824065,33.628178,82.49303,61.855377,47.036987,87.92614,57.572258,79.15044,70.524086,15.339011,0.26502,8879920.0,Europe,AUT,50067.58573
Azerbaijan,AZE,0.199998,0.689807,0.204891,2.583157,0.486328,2.592293,2.305889,,,,,,,,,,0.0208,10024283.0,Europe,AZE,4805.753718
Bahamas,BHS,0.203668,0.889432,0.36275,4.655024,0.816652,2.626633,2.108371,,,,,,,,,,0.25851,,North America,,
Bahrain,BHR,0.206969,0.836822,0.273714,4.673304,1.695674,3.879105,0.723558,51.516064,71.672745,49.27055,67.351326,79.08222,35.087814,76.39494,30.742939,26.374542,,1494188.0,Asia,BHR,25869.11291
Bangladesh,BGD,0.2526,0.583419,0.137974,4.283989,0.5128,4.110611,1.462198,46.563572,40.80793,50.399834,37.928905,65.628235,18.87141,47.59459,15.696865,19.77898,0.03474,165516222.0,Asia,BGD,2122.037652
Barbados,BRB,0.229386,0.919956,0.320599,4.663044,0.842955,2.763322,1.57764,,,,,,,,,,0.35184,280180.0,North America,BRB,19156.03987
Belarus,BLR,0.19765,0.699677,0.210693,2.946932,0.779868,4.022226,5.342888,,,,,,,,,,0.06325,9419758.0,Europe,BLR,6837.768321
Belgium,BEL,0.258073,0.947159,0.603869,5.212645,0.823451,4.109186,1.465639,14.50429,62.56355,46.59995,50.655163,76.020325,64.07484,73.97376,71.84577,16.389187,0.55812,11488980.0,Europe,BEL,46641.7214
Belize,BLZ,0.194922,0.881647,0.25871,4.568548,0.836792,2.838667,1.784013,,,,,,,,,,1.9483,389095.0,North America,BLZ,6134.215233
Benin,BEN,0.170322,0.640206,0.12029,2.905294,0.505541,3.629899,0.988584,73.41682,69.37909,53.539635,61.5533,87.50481,59.201405,58.62989,37.806496,15.002898,,12290444.0,Africa,BEN,1170.885995
Bermuda,BMU,0.221154,0.974986,0.491449,4.692816,0.853379,2.826293,1.506917,,,,,,,,,,,63911.0,,BMU,116153.1661
Bhutan,BTN,0.267637,0.595887,0.17234,3.801432,0.534974,3.439334,2.374373,,,,,,,,,,0.127,767459.0,Asia,BTN,3564.598771
Bolivia,BOL,0.193936,0.854218,0.305251,4.243625,0.886177,3.085905,1.601923,47.506245,81.65489,61.071293,68.96559,81.56846,41.01212,83.14835,23.934847,38.38072,0.00932,11777315.0,South America,BOL,3472.380831
Bosnia and Herzegovina,BIH,0.200703,0.71819,0.172474,3.402636,0.433416,2.31961,2.828633,38.396427,73.94008,37.992146,66.66177,89.42567,62.897697,83.90577,64.30106,15.794312,0.53734,3360711.0,Europe,BIH,6094.724823
Botswana,BWA,0.181928,0.638943,0.227733,3.506339,0.75275,3.968129,1.614339,,,,,,,,,,0.22633,2499702.0,Africa,BWA,6691.160846
Brazil,BRA,0.205534,1.106915,0.277051,6.06918,1.061681,3.297368,2.683581,53.729458,72.57038,51.045258,74.34573,71.42405,44.71939,64.1756,46.255623,33.012047,0.11458,211782878.0,South America,BRA,8845.324149
Brunei,BRN,0.272368,0.629945,0.536252,3.621414,0.906697,2.561983,0.791919,,,,,,,,,,0.47899,,Asia,,
Bulgaria,BGR,0.202455,0.630776,0.202411,3.587521,0.704289,2.543141,1.820826,6.6898265,67.26316,50.637257,60.67117,85.093575,41.78128,78.67587,37.275566,28.832611,0.30652,6975761.0,Europe,BGR,9874.336326
Burkina Faso,BFA,0.164745,0.622074,0.113354,2.900239,0.444063,3.694254,1.001796,71.650955,70.91007,49.32151,59.11512,81.40154,52.244404,57.08445,39.494617,26.110977,0.28712,20951639.0,,BFA,765.2295604
Burundi,BDI,0.154394,0.613042,0.090802,3.58576,0.500084,3.721228,1.569309,,,,,,,,,,,11874838.0,Africa,BDI,216.9729709
